Var1,Var2,Var3
0,-35.6413600454248,57.9911341740904
5,-17.662096646867,57.9911341740904
10,127.358411171876,57.9911341740904
15,-58.4070859436272,57.9911341740904
20,66.6512615686457,57.9911341740904
25,82.6248467808555,57.9911341740904
30,171.399532778337,57.9911341740904
35,178.135195898857,57.9911341740904
40,114.235805571791,57.9911341740904
45,226.074161780339,57.9911341740904
50,368.999852275088,57.9911341740904
55,285.765144608666,57.9911341740904
60,232.073466120465,57.9911341740904
65,330.621394056227,57.9911341740904
70,399.325052758212,57.9911341740904
75,458.279935839021,57.9911341740904
80,380.085517405448,57.9911341740904
85,384.722092095994,57.9911341740904
90,530.067228353272,57.9911341740904
95,550.959362110517,57.9911341740904
100,488.025532422275,57.9911341740904
105,544.478381953836,57.9911341740904
110,532.818567045727,57.9911341740904
115,560.424853809304,57.9911341740904
120,605.674166891433,57.9911341740904
125,499.640995650916,57.9911341740904
130,601.606233153241,57.9911341740904
135,598.457781406257,57.9911341740904
140,646.934286417106,57.9911341740904
145,653.418447544044,57.9911341740904
150,595.443061282009,57.9911341740904
155,680.10649123742,57.9911341740904
160,631.980951702554,57.9911341740904
165,727.32497531484,57.9911341740904
170,664.770199593883,57.9911341740904
175,663.707401738988,57.9911341740904
180,788.193673864183,57.9911341740904
185,805.117131323871,57.9911341740904
190,796.798579344225,57.9911341740904
195,758.114107174547,57.9911341740904
200,852.398488946153,57.9911341740904
205,893.856438369791,57.9911341740904
210,842.695444234848,57.9911341740904
215,731.358598538073,57.9911341740904
220,808.63732546619,57.9911341740904
225,963.842632218956,57.9911341740904
230,734.041177999716,57.9911341740904
235,852.295016411436,57.9911341740904
240,720.646163709587,57.9911341740904
245,853.991647626279,57.9911341740904
250,795.160954008847,57.9911341740904
255,756.690338239077,57.9911341740904
260,786.538309534702,57.9911341740904
265,751.346870162557,57.9911341740904
270,748.905890080533,57.9911341740904
275,736.930893414984,57.9911341740904
280,667.071345697978,57.9911341740904
285,754.653990818535,57.9911341740904
290,790.182902848336,57.9911341740904
295,691.49666271897,57.9911341740904
300,582.336510490411,57.9911341740904
305,601.191771290925,57.9911341740904
310,630.65430676934,57.9911341740904
315,645.237437631259,57.9911341740904
320,687.109119646759,57.9911341740904
325,567.165992369518,57.9911341740904
330,536.150529646645,57.9911341740904
335,604.771437630778,57.9911341740904
340,618.520823071911,57.9911341740904
345,560.025326819338,57.9911341740904
350,488.827550362866,57.9911341740904
355,563.221950471244,57.9911341740904
360,544.406277266969,57.9911341740904
365,504.068689747715,57.9911341740904
370,435.613208052819,57.9911341740904
375,535.634255155096,57.9911341740904
380,402.883663062282,57.9911341740904
385,374.860652826272,57.9911341740904
390,426.588476820162,57.9911341740904
395,399.980138448194,57.9911341740904
400,372.034576154416,57.9911341740904
405,459.612951936747,57.9911341740904
410,501.00329458349,57.9911341740904
415,384.002644600721,57.9911341740904
420,430.757679189097,57.9911341740904
425,496.02298502455,57.9911341740904
430,440.626621880456,57.9911341740904
435,440.375942929609,57.9911341740904
440,446.557738836159,57.9911341740904
445,461.831769748136,57.9911341740904
450,430.95801759978,57.9911341740904
455,321.998562539278,57.9911341740904
460,366.093909876307,57.9911341740904
465,364.18167391108,57.9911341740904
470,502.616539328225,57.9911341740904
475,476.807481591324,57.9911341740904
480,534.365519932585,57.9911341740904
485,550.348911664607,57.9911341740904
490,506.240561763421,57.9911341740904
495,578.833649807181,57.9911341740904
500,527.797771378234,57.9911341740904
505,592.51607908333,57.9911341740904
510,669.27505539126,57.9911341740904
515,634.832687997452,57.9911341740904
520,661.116423814926,57.9911341740904
