
3.2272e-04  ,  8.0001e-05 ,2.4789e+01 
6.9482e-03  ,  3.0229e-03 ,4.3506e+01 
5.6171e-02  ,  5.5040e-02 ,9.7987e+01 
3.9332e+00  ,  4.1124e-01 ,1.0455e+01 
1.5424e-05  ,  5.5816e-05 ,3.6189e+02 
3.1579e+00  ,  1.1579e+00 ,3.6668e+01 
3.5860e+00  ,  1.5860e+00 ,4.4227e+01 
2.9307e+00  ,  3.3679e+00 ,1.1492e+02 
5.3106e+01  ,  5.2105e+01 ,9.8116e+01 
3.0169e+00  ,  1.0119e+00 ,3.3540e+01 
1.0816e+02  ,  3.1495e+00 ,2.9120e+00 
1.7171e+00  ,  9.5358e-01 ,5.5535e+01 
2.1751e+00  ,  1.1749e+00 ,5.4018e+01 
2.4794e+02  ,  7.4757e+02 ,3.0151e+02 
